Synset	Class	Relation
bag%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
base%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
basket%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
bed%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
bench%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
bin%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
bolt%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
brick%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
bronze%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
cane%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
cap%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
carpet%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
cart%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
chip%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
clock%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
desk%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
drain%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
drill%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
drop%1:25:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
fridge%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
glass%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
glass%1:06:02:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
hammer%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
hardware%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
heat%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
kettle%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
king%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
king%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
lid%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
line%1:06:03:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
lounge%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
match%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
nail%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
overall%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
patch%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
piano%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
post%1:10:02:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
printer%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
reactor%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
recording%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
register%1:06:02:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
ring%1:06:03:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
screw%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
shirt%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
stamp%1:10:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
step%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
switch%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
table%1:06:02:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
tap%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
television%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
temple%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
tin%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
towel%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
trap%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
weight%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
wing%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
wire%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
extension%1:06:02:: 	TopKyoto3#material-artifact-role	
taxi%1:06:00:: 	TopKyoto3#material-artifact-role	
acquaintance%1:09:00:: 	MentalObjects.owl#mental-object	
concept%1:09:00:: 	MentalObjects.owl#mental-object	
condition%1:10:01:: 	MentalObjects.owl#mental-object	
creed%1:09:00:: 	MentalObjects.owl#mental-object	
fantasy%1:09:01:: 	MentalObjects.owl#mental-object	
image%1:09:00:: 	MentalObjects.owl#mental-object	
knowledge%1:03:00:: 	MentalObjects.owl#mental-object	
scheme%1:09:01:: 	MentalObjects.owl#mental-object	
settlement%1:09:00:: 	MentalObjects.owl#mental-object	
value%1:09:01:: 	MentalObjects.owl#mental-object	
vision%1:09:03:: 	MentalObjects.owl#mental-object	
march%1:10:01:: 	Kyoto#music-eng-3.0-07020895-n	
front%1:19:00:: 	Kyoto#natural_process__natural_action-eng-3.0-13518963-n	
fragment%1:17:01:: 	ExtendedDnS.owl#non-agentive-physical-object	
tape%1:06:00:: 	ExtendedDnS.owl#non-agentive-physical-object	
beam%1:06:00:: 	ExtendedDnS.owl#non-agentive-physical-object	
bubble%1:17:00:: 	ExtendedDnS.owl#non-agentive-physical-object	
cable%1:06:00:: 	ExtendedDnS.owl#non-agentive-physical-object	
cigarette%1:06:00:: 	ExtendedDnS.owl#non-agentive-physical-object	
cover%1:06:01:: 	ExtendedDnS.owl#non-agentive-physical-object	
houseplant%1:20:00:: 	ExtendedDnS.owl#non-agentive-physical-object	
screen%1:06:00:: 	ExtendedDnS.owl#non-agentive-physical-object	
tablet%1:06:00:: 	ExtendedDnS.owl#non-agentive-physical-object	
ideal%1:18:00:: 	ExtendedDnS.owl#non-agentive-social-object	
issue%1:09:01:: 	ExtendedDnS.owl#non-agentive-social-object	
reason%1:10:01:: 	TopKyoto3#non-agentive-social-object-role	
category%1:09:02:: 	DOLCE-Lite.owl#non-physical-object	
highlight%1:24:00:: 	DOLCE-Lite.owl#non-physical-object	
sector%1:09:00:: 	DOLCE-Lite.owl#non-physical-object	
hell%1:09:02:: 	CommonSenseMapping.owl#non-physical-place	
mould%1:20:00:: 	Kyoto#organism__being-eng-3.0-00004475-n	
virus%1:05:00:: 	Kyoto#organism__being-eng-3.0-00004475-n	
predator%1:05:00:: 	Kyoto3Middle#organism-role	
chain%1:14:02:: 	Kyoto#organization_organisation-eng-3.0-08008335-n	
charity%1:14:01:: 	Kyoto#organization_organisation-eng-3.0-08008335-n	
club%1:14:00:: 	Kyoto#organization_organisation-eng-3.0-08008335-n	
institution%1:14:00:: 	Kyoto#organization_organisation-eng-3.0-08008335-n	
trust%1:14:00:: 	Kyoto#organization_organisation-eng-3.0-08008335-n	
product%1:09:00:: 	ExtendedDnS.owl#parameter	
norm%1:24:00:: 	ExtendedDnS.owl#parameter	
present%1:28:00:: 	ExtendedDnS.owl#parameter	
record%1:04:00:: 	ExtendedDnS.owl#parameter	
restriction%1:09:00:: 	ExtendedDnS.owl#parameter	
sacrifice%1:21:00:: 	ExtendedDnS.owl#parameter	
percent%1:24:00:: 	Kyoto#percentage	EQUIV
coincidence%1:11:00:: 	DOLCE-Lite.owl#perdurant	
emergency%1:11:00:: 	DOLCE-Lite.owl#perdurant	
incident%1:11:00:: 	DOLCE-Lite.owl#perdurant	
sign%1:11:00:: 	DOLCE-Lite.owl#perdurant	
baby%1:18:00:: 	CommonSenseMapping.owl#phase-role	
youth%1:28:00:: 	CommonSenseMapping.owl#phase-role	
delivery%1:04:02:: 	ExtendedDnS.owl#phenomenon	
comet%1:17:00:: 	CommonSenseMapping.owl#physical-body	
orange%1:13:00:: 	CommonSenseMapping.owl#physical-body	
produce%1:13:00:: 	CommonSenseMapping.owl#physical-body	
star%1:17:01:: 	CommonSenseMapping.owl#physical-body	
stone%1:17:00:: 	CommonSenseMapping.owl#physical-body	
tear%1:08:01:: 	CommonSenseMapping.owl#physical-body	
tree%1:20:00:: 	CommonSenseMapping.owl#physical-body	
world%1:17:00:: 	CommonSenseMapping.owl#physical-body	
cash%1:21:00:: 	DOLCE-Lite.owl#physical-endurant	
currency%1:21:00:: 	DOLCE-Lite.owl#physical-endurant	
ham%1:13:00:: 	DOLCE-Lite.owl#physical-endurant	
twist%1:08:00:: 	DOLCE-Lite.owl#physical-endurant	
treasure%1:14:00:: 	TopKyoto3#physical-endurant-role	
form%1:09:00:: 	DOLCE-Lite.owl#physical-quality	
look%1:07:00:: 	DOLCE-Lite.owl#physical-quality	
allocation%1:21:00:: 	TopKyoto3#physical-endurant-role	
barrier%1:17:00:: 	TopKyoto3#physical-endurant-role	
cover%1:06:02:: 	TopKyoto3#physical-endurant-role	
garbage%1:27:00:: 	TopKyoto3#physical-endurant-role	
good%1:06:00:: 	TopKyoto3#physical-endurant-role	
lunch%1:13:00:: 	TopKyoto3#physical-endurant-role	
property%1:21:00:: 	TopKyoto3#physical-endurant-role	
specimen%1:08:00:: 	TopKyoto3#physical-endurant-role	
subject%1:18:01:: 	TopKyoto3#physical-endurant-role	
strip%1:17:00:: 	DOLCE-Lite.owl#physical-object	
altar%1:06:00:: 	DOLCE-Lite.owl#physical-object	
dolphin%1:05:00:: 	DOLCE-Lite.owl#physical-object	
monkey%1:05:00:: 	DOLCE-Lite.owl#physical-object	
pigeon%1:05:00:: 	DOLCE-Lite.owl#physical-object	
scrap%1:06:00:: 	DOLCE-Lite.owl#physical-object	
slab%1:06:00:: 	DOLCE-Lite.owl#physical-object	
slice%1:17:00:: 	DOLCE-Lite.owl#physical-object	
world%1:17:01:: 	DOLCE-Lite.owl#physical-object	
force%1:07:00:: 	TopKyoto3#physical-object-quality	
impulse%1:07:00:: 	TopKyoto3#physical-object-quality	
smell%1:07:00:: 	TopKyoto3#physical-object-quality	
fever%1:26:00:: 	TopKyoto2.1#physical-object-region	
portion%1:13:00:: 	TopKyoto3#physical-object-role	
current%1:19:01:: 	ExtendedDnS.owl#physical-phenomenon	
daylight%1:19:00:: 	ExtendedDnS.owl#physical-phenomenon	
distortion%1:19:00:: 	ExtendedDnS.owl#physical-phenomenon	
quantity%1:09:01:: 	ExtendedDnS.owl#physical-phenomenon	
oak%1:20:00:: 	Kyoto#plant__flora__plant_life-eng-3.0-00017222-n	
leaf%1:20:00:: 	Kyoto#plant_part_plant_structure-eng-3.0-13086908-n	
truth%1:10:00:: 	DOLCE-Lite.owl#proposition	
look%1:26:00:: 	DOLCE-Lite.owl#quality	
magnitude%1:07:00:: 	DOLCE-Lite.owl#quality	
order%1:26:02:: 	DOLCE-Lite.owl#quality	
silence%1:07:02:: 	DOLCE-Lite.owl#quality	
speech%1:10:05:: 	DOLCE-Lite.owl#quality	
variable%1:09:00:: 	DOLCE-Lite.owl#quality	
weather%1:19:00:: 	DOLCE-Lite.owl#quality	
recreation%1:04:01:: 	Kyoto#recreation-eng-3.0-00426928-n	
cheek%1:07:00:: 	DOLCE-Lite.owl#region	
complication%1:26:00:: 	DOLCE-Lite.owl#region	
courage%1:07:00:: 	DOLCE-Lite.owl#region	
industry%1:07:00:: 	DOLCE-Lite.owl#region	
justice%1:07:00:: 	DOLCE-Lite.owl#region	
precision%1:07:00:: 	DOLCE-Lite.owl#region	
region%1:15:01:: 	Kyoto#region__space__space_region-eng-3.0-08630039-n	
deal%1:10:00:: 	ExtendedDnS.owl#regulation	
obligation%1:04:00:: 	ExtendedDnS.owl#regulation	
politics%1:24:00:: 	ExtendedDnS.owl#relation	
deficit%1:07:00:: 	TopKyoto3#relational	
ratio%1:24:01:: 	TopKyoto3#relational	
sequence%1:14:00:: 	TopKyoto3#relational	
balance%1:21:00:: 	TopKyoto3#relational	
simplicity%1:07:02:: 	TopKyoto2.1#relational_region	
beginning%1:09:00:: 	TopKyoto2.1#relational_region	
prevalence%1:07:01:: 	TopKyoto2.1#relational_region	
similarity%1:07:00:: 	TopKyoto2.1#relational_region	
company%1:26:00:: 	Kyoto3Middle#relational_state	
harmony%1:07:01:: 	Kyoto3Middle#relational_state	
history%1:28:00:: 	Kyoto3Middle#relational_state	
improvement%1:26:00:: 	Kyoto3Middle#relational_state	
isolation%1:26:00:: 	Kyoto3Middle#relational_state	
monopoly%1:26:02:: 	Kyoto3Middle#relational_state	
back%1:06:00:: 	DOLCE-Lite.owl#relevant-part	
fold%1:25:00:: 	DOLCE-Lite.owl#relevant-part	
lap%1:08:00:: 	DOLCE-Lite.owl#relevant-part	
place%1:15:00:: 	DOLCE-Lite.owl#relevant-part	
award%1:21:00:: 	ExtendedDnS.owl#role	
default%1:09:00:: 	ExtendedDnS.owl#role	
facility%1:06:00:: 	ExtendedDnS.owl#role	
incentive%1:16:00:: 	ExtendedDnS.owl#role	
justification%1:09:00:: 	ExtendedDnS.owl#role	
present%1:21:00:: 	ExtendedDnS.owl#role	
supply%1:23:00:: 	ExtendedDnS.owl#role	
wreck%1:26:00:: 	ExtendedDnS.owl#role	
style%1:10:01:: 	SemioticCommunicationTheory.owl#semiotic-code	
curve%1:25:00:: 	Kyoto3Middle#shape_region	
cylinder%1:25:02:: 	Kyoto3Middle#shape_region	
square%1:25:00:: 	Kyoto3Middle#shape_region	
point%1:25:02:: 	Kyoto3Middle#shape_region ; DOLCE-Lite.owl#physical-endurant	
cancer%1:26:00:: 	ExtendedDnS.owl#situation	
power%1:14:00:: 	TopKyoto3#social-object-role	
brother%1:18:00:: 	ExtendedDnS.owl#social-relationship	
father%1:18:00:: 	ExtendedDnS.owl#social-relationship	
grandmother%1:18:00:: 	ExtendedDnS.owl#social-relationship	
nephew%1:18:00:: 	ExtendedDnS.owl#social-relationship	
pole%1:15:00:: 	CommonSenseMapping.owl#spatial-feature	
baseball%1:04:00:: 	Kyoto#sport__athletics-eng-3.0-00523513-n	
hunting%1:04:01:: 	Kyoto#sport__athletics-eng-3.0-00523513-n	
freedom%1:26:00:: 	DOLCE-Lite.owl#state	
presence%1:26:00:: 	DOLCE-Lite.owl#state	
disagreement%1:26:00:: 	DOLCE-Lite.owl#stative	
stop%1:04:02:: 	DOLCE-Lite.owl#stative	
cast%1:06:02:: 	CommonSenseMapping.owl#substance-role	
conductor%1:27:00:: 	CommonSenseMapping.owl#substance-role	
fat%1:07:00:: 	CommonSenseMapping.owl#substance-role	
fuel%1:27:00:: 	CommonSenseMapping.owl#substance-role	
grain%1:13:00:: 	CommonSenseMapping.owl#substance-role	
pill%1:06:02:: 	CommonSenseMapping.owl#substance-role	
radio%1:06:00:: 	Systems.owl#system-as-artifact	
job%1:04:01:: 	ExtendedDnS.owl#task	
cold%1:07:00:: 	DOLCE-Lite.owl#physical-region	
shift%1:28:00:: 	DOLCE-Lite.owl#temporal-region	
sun%1:28:00:: 	DOLCE-Lite.owl#temporal-region	
weekend%1:28:00:: 	DOLCE-Lite.owl#temporal-region	
winter%1:28:00:: 	Kyoto#season-eng-3.0-15239579-n	
deadline%1:28:00:: 	Plans.owl#temporal-parameter	
period%1:28:05:: 	Plans.owl#temporal-parameter	
reign%1:28:00:: 	Plans.owl#temporal-parameter	
accent%1:10:03:: 	DOLCE-Lite.owl#temporal-quality	
pitch%1:07:00:: 	DOLCE-Lite.owl#temporal-quality	
rule%1:28:00:: 	DOLCE-Lite.owl#temporal-quality	
use%1:04:01:: 	DOLCE-Lite.owl#temporal-quality	
volume%1:07:02:: 	DOLCE-Lite.owl#temporal-quality	
mercy%1:04:00:: 	DOLCE-Lite.owl#temporal-region	
night%1:28:00:: 	DOLCE-Lite.owl#temporal-region	
index%1:10:00:: 	InformationObjects.owl#text	
koran%1:10:00:: 	InformationObjects.owl#text	
sleep%1:26:00:: 	Kyoto#things_organisms_do	
moment%1:28:02:: 	DOLCE-Lite.owl#temporal-region	
disposition%1:07:00:: 	Kyoto#trait-eng-3.0-04616059-n	
drive%1:07:00:: 	Kyoto#trait-eng-3.0-04616059-n	
speech%1:10:04:: 	InformationObjects.owl#voicing	
volume%1:23:00:: 	Kyoto#volume	EQUIV
cup%1:23:01:: 	MiddleKyoto2#volume_unit-eng-3.0-13600822-n	INSTANCE
yard%1:23:00:: 	MiddleKyoto2#volume_unit-eng-3.0-13600822-n	INSTANCE
weight%1:23:00:: 	Kyoto#weight_unit-eng-3.0-13608788-n	EQUIV
