Synset	Class	Relation
senior%1:18:00:: 	ExtendedDnS.owl#agent-driven-role	
server%1:18:00:: 	ExtendedDnS.owl#agent-driven-role	
slave%1:18:00:: 	ExtendedDnS.owl#agent-driven-role	
star%1:18:01:: 	ExtendedDnS.owl#agent-driven-role	
surgeon%1:18:00:: 	ExtendedDnS.owl#agent-driven-role	
survivor%1:18:02:: 	ExtendedDnS.owl#agent-driven-role	
tenant%1:18:00:: 	ExtendedDnS.owl#agent-driven-role	
terrorist%1:18:00:: 	ExtendedDnS.owl#agent-driven-role	
treasurer%1:18:00:: 	ExtendedDnS.owl#agent-driven-role	
trustee%1:18:00:: 	ExtendedDnS.owl#agent-driven-role	
watch%1:18:00:: 	ExtendedDnS.owl#agent-driven-role	
witness%1:18:03:: 	ExtendedDnS.owl#agent-driven-role	
fairy%1:18:00:: 	ExtendedDnS.owl#agentive-figure	
virgin%1:18:00:: 	ExtendedDnS.owl#agentive-figure	
monster%1:18:01:: 	ExtendedDnS.owl#agentive-figure	
cell%1:03:00:: 	already in KYOTO	
compound%1:27:00:: 	already in KYOTO	
food%1:03:00:: 	already in KYOTO	
plant%1:03:00:: 	already in KYOTO	
rate%1:07:00:: 	already in KYOTO	
treatment%1:04:01:: 	already in KYOTO	
weed%1:20:00:: 	already in KYOTO	
fish%1:13:00:: 	DOLCE-Lite.owl#amount-of-matter ; Kyoto#food__nutrient-eng-3.0-00021265-n	
powder%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
butter%1:13:00:: 	DOLCE-Lite.owl#amount-of-matter ; Kyoto#food__nutrient-eng-3.0-00021265-n	
canvas%1:06:00:: 	DOLCE-Lite.owl#amount-of-matter	
chemical%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
coal%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
concrete%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
copper%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
cotton%1:06:00:: 	DOLCE-Lite.owl#amount-of-matter	
glass%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
gravel%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
hay%1:13:00:: 	DOLCE-Lite.owl#amount-of-matter	
heroin%1:06:00:: 	DOLCE-Lite.owl#amount-of-matter	
ivory%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
leather%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
marble%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
mineral%1:27:00:: 	DOLCE-Lite.owl#amount-of-matter	
pudding%1:13:00:: 	DOLCE-Lite.owl#amount-of-matter	
punch%1:13:00:: 	DOLCE-Lite.owl#amount-of-matter	
